txid,input_index,script_type,pubkey_hex,r,s,sighash_type,z,ecdsa_valid
0038a9a782925bcd10e7112587edec6c8cf960d487b6c3983dfe4a2c66c8be97,1,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,c1eeb68d7777083667e2413ba5e4086a0eec3bfe99e25765a37b2ab3c981c842,6001ef744c78326f96b7609a6196d9a41ddc300dd1e8355abb8cc245ee185922,1,1de9518b34b836276d361c8ef3d06e1a92f97ef08c3a6adde4aecac807505fdf,true
0038de69bf17e26894817c85742db64220589ee22714c09c350b91abb29c93f5,0,P2SH,03609ea8016a0a7f23ff61ed6ace6d34879d0391154a1cb93b335c37b7e661bfdb,f777df8831d3687c2cf8f516a53230964c4e04bb751a536e03d884e6d7da8d63,0e82dc28d5d0545d257d64daec2f12965c93927c0e505d8bcd4f54bedf082be8,1,3519bba2bfaa0a2191933e1f0593e2dc8fb7f51c0be77107e913fe81d4b1acbc,true
0038de69bf17e26894817c85742db64220589ee22714c09c350b91abb29c93f5,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,0c7e6dfd4797eb47fc26eeb18c6a491bc48ee884272657f272c9324c85f95711,53be63a4de0806cef76d4e32ea093ff478be97c6776f5b4f4014b23a7e1d5df5,1,3519bba2bfaa0a2191933e1f0593e2dc8fb7f51c0be77107e913fe81d4b1acbc,true
003ba622dc466440d50bb697ad5f2dbc07077d671f4b6dd10dce19dfcc69faf8,0,P2SH,03ef260cde46f9ba4efcf5e729a849f3792f1084126c810073adaddde3b1736e5a,0ddabefb135755367e5e655d335887baf300d7096464fb2065b1a13217327d4b,1ed4fa9c9009979fe969dda6e9053564034779a8b90a4f06d05a809e6c0c57cd,1,5c3f1778423f1bbc3c58da36b5523c7c36aa99d603de0dd2d1f1e7f35fa87b33,true
003ba622dc466440d50bb697ad5f2dbc07077d671f4b6dd10dce19dfcc69faf8,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,4269e849ae8a8f0fa72f5ccea36c8be131c60d018a317b1bcc218d54d1fee248,20e02e1136ab321641e2d028e761c2a8d225fb46b8b339cdaee22343db7b9ae3,1,5c3f1778423f1bbc3c58da36b5523c7c36aa99d603de0dd2d1f1e7f35fa87b33,true
003ba622dc466440d50bb697ad5f2dbc07077d671f4b6dd10dce19dfcc69faf8,1,P2SH,03ef260cde46f9ba4efcf5e729a849f3792f1084126c810073adaddde3b1736e5a,95cb2a08a8cb90bff9f6ee745a191dfc7831833edee6c4001f53079d866b8dfe,6d43fc847bedc2470dbfbbf6d66d5a3e7075465c9ebf16c958bc58213f7379b9,1,1aa94e7acd9b9a24ff54a3cfb4ce9cfb02abfc3c5d61d621570477ee04181d1d,true
003ba622dc466440d50bb697ad5f2dbc07077d671f4b6dd10dce19dfcc69faf8,1,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,e9ceaed3192e4c590b0fa9e563157f6f427ee157ee27ebfbde5ed94cef4ecd5f,6bf48803c0c4dfe21e9b7e0ed6ffafffcc8e4405a66b6afaee4f442771e1c479,1,1aa94e7acd9b9a24ff54a3cfb4ce9cfb02abfc3c5d61d621570477ee04181d1d,true
004420da4279f251aba16ac73a03af7a7020706fcb31a56eb9dcfb6e6284d3d9,0,P2SH,0308957fe7395b07a5052cdec224d14045e04a4de0724bf6b000e35956f0ee5a22,953931d953ffa71ac77ec7a305f7ef796149c5de33ae99a1af896351d74307de,4132470b29d63e17a41b6888611a0d0c76ee31dd52e51cd8b1ab2ddc930e0e8c,1,0be1a15f7c06c52d86ebc0bad38c6ae19a0113b43de68ea3fa87023c8e906489,true
004420da4279f251aba16ac73a03af7a7020706fcb31a56eb9dcfb6e6284d3d9,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,452da340eab5c17414eb7b3e935595227731ac1322f7aa14d18f945253d1599a,3143216b8dbf0e29547395223017d623d72f8ed232f36ee116bf61161a5fce9a,1,0be1a15f7c06c52d86ebc0bad38c6ae19a0113b43de68ea3fa87023c8e906489,true
004420da4279f251aba16ac73a03af7a7020706fcb31a56eb9dcfb6e6284d3d9,1,P2SH,0308957fe7395b07a5052cdec224d14045e04a4de0724bf6b000e35956f0ee5a22,69851590bd49f9432eb395b14b19e38b56f7d13be9c6aa2112ee98bbd0198ee7,28229212ca73cee05001a2ca4863efd7e443ef42920843cbe032ff398829314e,1,465968388c4302845a92ca4f39b8d84a7962f2b5b0ba6f5384c2f0a5ec4e9276,true
004420da4279f251aba16ac73a03af7a7020706fcb31a56eb9dcfb6e6284d3d9,1,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,cd445a596043850af5cb3ce7779710e3dda6e00d5e3dce8979a0db636ad66af9,2d280c8ee6941a88d3d8b6905d1f104c970d81af4fb10cfe025ed9b03edad099,1,465968388c4302845a92ca4f39b8d84a7962f2b5b0ba6f5384c2f0a5ec4e9276,true
