txid	vin	sig_index	prev_txid	prev_vout	r_hex	r_dec	s_hex	s_dec	sighash_byte	sighash_name	der_strict	low_s	pubkey	pubkey_h160	prevout_type	z_method	is_target_key	verify_openssl	verify_pure	verify_zalt	block_height	block_time
0038a9a782925bcd10e7112587edec6c8cf960d487b6c3983dfe4a2c66c8be97	0	0	030c6074c951bf89ee8fa55dcbfc24c7e1ab107500a7ea2812f4fc79c34615f5	2	53e8f93b91903f6e25c95de08c8fa0101b196f31d4d4130d2e4e2926e47c8808	37953595092246521996228908612193966830838369555155305102383379335809655932936	6095ccdd06176214f232bf6fc4edd294af9f74cb305f9e5d3794d397c7e19922	43686707591690004276876057568918350725941788560968352237999818957800595364130	0x01	SIGHASH_ALL	1	1	02c0e8f7619a5eced1d5be30abea16fcea685e0e5fb7241a8c6a790026267ed7fa	bcee17d972b863da075739cc8ce437da46ee5567	p2sh	legacy	0	True		1	440169	1479877504
0038a9a782925bcd10e7112587edec6c8cf960d487b6c3983dfe4a2c66c8be97	0	1	030c6074c951bf89ee8fa55dcbfc24c7e1ab107500a7ea2812f4fc79c34615f5	2	fe8bdc34902f929ec72d3e25fba8f239259d92355905dcc20beecda380b5dfff	115134575083451918972944014267348539448401531589652252732738695972330902249471	5b21801262b9fc11daabf51ef9def33f4bfedbe02255284dbe74f7b2dc501638	41219659093423471455479462893844310375178540015339793611565975733828779513400	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	440169	1479877504
0038a9a782925bcd10e7112587edec6c8cf960d487b6c3983dfe4a2c66c8be97	1	0	04fe1352d27c21ebcc0a7b760f0f7110b71d0f05e82eb2ace632fb5d17db1723	0	97c945ca577bf1c11c612be3e45c28fb0a94e9c8847ebac7d8e2f2bda0a674b3	68654858071713992332496031359859074412909836064572216362506468682472515597491	2cef559b5b91722173b61097bfa666ddd9f897f5fac4d14ba25fdd27992f15ec	20324632623020217032428001919934125716474540325916096512184086047935838492140	0x01	SIGHASH_ALL	1	1	02c0e8f7619a5eced1d5be30abea16fcea685e0e5fb7241a8c6a790026267ed7fa	bcee17d972b863da075739cc8ce437da46ee5567	p2sh	legacy	0	True		1	440169	1479877504
0038a9a782925bcd10e7112587edec6c8cf960d487b6c3983dfe4a2c66c8be97	1	1	04fe1352d27c21ebcc0a7b760f0f7110b71d0f05e82eb2ace632fb5d17db1723	0	c1eeb68d7777083667e2413ba5e4086a0eec3bfe99e25765a37b2ab3c981c842	87718149309756394043495594332532941623064718112888602912113652586970779600962	6001ef744c78326f96b7609a6196d9a41ddc300dd1e8355abb8cc245ee185922	43425452963842228353274157070844717963033694018607989309848369449926355605794	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	440169	1479877504
0038de69bf17e26894817c85742db64220589ee22714c09c350b91abb29c93f5	0	0	66e9f45f02bcb9144c1d9bc68408d96ac85c2e2a5635f936b2e2b81de4c6d2f1	0	f777df8831d3687c2cf8f516a53230964c4e04bb751a536e03d884e6d7da8d63	111933071162010777249821026124826538764186934804077510500746679877950060006755	0e82dc28d5d0545d257d64daec2f12965c93927c0e505d8bcd4f54bedf082be8	6563589483698299940000004693725823796057921008711479644722204310873345371112	0x01	SIGHASH_ALL	1	1	03609ea8016a0a7f23ff61ed6ace6d34879d0391154a1cb93b335c37b7e661bfdb	771c31ce8b77253929cb277690c6c8d472055421	p2sh	legacy	0	True		1	441234	1480485298
0038de69bf17e26894817c85742db64220589ee22714c09c350b91abb29c93f5	0	1	66e9f45f02bcb9144c1d9bc68408d96ac85c2e2a5635f936b2e2b81de4c6d2f1	0	0c7e6dfd4797eb47fc26eeb18c6a491bc48ee884272657f272c9324c85f95711	5651136031919248634375894708872273694286483538391528829095113447285815072529	53be63a4de0806cef76d4e32ea093ff478be97c6776f5b4f4014b23a7e1d5df5	37878355092421219636439066850817557369571292540991142080213025170699860139509	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	441234	1480485298
003ba622dc466440d50bb697ad5f2dbc07077d671f4b6dd10dce19dfcc69faf8	0	0	c7d46e29ed1eb734191f6c2be0a7a940574806219e78c4b269650bc3cae8edbf	4	0ddabefb135755367e5e655d335887baf300d7096464fb2065b1a13217327d4b	6266557792493514692252704852887842907265082804401865330273885441396206370123	1ed4fa9c9009979fe969dda6e9053564034779a8b90a4f06d05a809e6c0c57cd	13945686692738302882471400473183111205609735102228227838065482245500518029261	0x01	SIGHASH_ALL	1	1	03ef260cde46f9ba4efcf5e729a849f3792f1084126c810073adaddde3b1736e5a	af47bd10aa19fd6612c60b105b5009ab7e426996	p2sh	legacy	0	True		1	445610	1482992869
003ba622dc466440d50bb697ad5f2dbc07077d671f4b6dd10dce19dfcc69faf8	0	1	c7d46e29ed1eb734191f6c2be0a7a940574806219e78c4b269650bc3cae8edbf	4	4269e849ae8a8f0fa72f5ccea36c8be131c60d018a317b1bcc218d54d1fee248	30039770139907212647993782358618038968803617829933927034448399512332578775624	20e02e1136ab321641e2d028e761c2a8d225fb46b8b339cdaee22343db7b9ae3	14870102841583217781809670786207237961219658820243342434606324045918976580323	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	445610	1482992869
003ba622dc466440d50bb697ad5f2dbc07077d671f4b6dd10dce19dfcc69faf8	1	0	78e565803f215998d06aded850b29ba1d47ceba452cc2abff9d363f59f752998	0	95cb2a08a8cb90bff9f6ee745a191dfc7831833edee6c4001f53079d866b8dfe	67753574499859049388150476773587162710417043176291055196001653995392211848702	6d43fc847bedc2470dbfbbf6d66d5a3e7075465c9ebf16c958bc58213f7379b9	49422222060759759580979049289991986992068239744192024161057014237966365850041	0x01	SIGHASH_ALL	1	1	03ef260cde46f9ba4efcf5e729a849f3792f1084126c810073adaddde3b1736e5a	af47bd10aa19fd6612c60b105b5009ab7e426996	p2sh	legacy	0	True		1	445610	1482992869
003ba622dc466440d50bb697ad5f2dbc07077d671f4b6dd10dce19dfcc69faf8	1	1	78e565803f215998d06aded850b29ba1d47ceba452cc2abff9d363f59f752998	0	e9ceaed3192e4c590b0fa9e563157f6f427ee157ee27ebfbde5ed94cef4ecd5f	105754070810310357270110460096753466564021641351987790201973557533161582153055	6bf48803c0c4dfe21e9b7e0ed6ffafffcc8e4405a66b6afaee4f442771e1c479	48829524220899382340722092209669791994814198529633446371094209684752763569273	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	445610	1482992869
